Gender,Age,StudyHoursPerWeek,AttendancePercentage,PreviousGrade,SleepHours,Absences,ParentEducation,FamilyIncome,ExtracurricularActivities,InternetAccess,ExamScore,PassFail
Female,19,8.7,71.3,87.9,6.7,4,Associate,39545,No,Yes,55.2,Pass
Female,22,11.4,90.5,88.4,6.0,0,Master,36204,No,Yes,71.5,Pass
Female,21,18.3,71.2,86.8,5.7,5,Bachelor,41268,Yes,Yes,65.5,Pass
Female,17,11.8,61.5,80.2,5.6,3,Doctorate,102383,Yes,Yes,64.3,Pass
Male,20,24.4,63.6,97.2,7.5,4,Bachelor,137755,No,Yes,63.5,Pass
Male,16,11.6,79.6,74.1,6.4,4,Associate,114940,No,Yes,54.0,Pass
Male,18,15.3,76.5,72.6,4.0,6,High School,46436,Yes,No,48.8,Fail
Female,21,19.6,88.9,99.4,7.5,5,Doctorate,116524,Yes,Yes,73.4,Pass
Female,17,5.5,58.9,35.0,7.0,2,Bachelor,104842,Yes,Yes,43.2,Fail
Male,19,3.4,67.7,65.0,8.6,2,Bachelor,60973,Yes,Yes,40.5,Fail
Male,22,4.8,79.0,85.5,7.4,4,Associate,94369,No,Yes,60.4,Pass
Male,18,21.6,89.4,81.7,5.2,6,Associate,105533,Yes,Yes,53.0,Pass
Male,19,10.7,85.5,100.0,4.3,5,Master,51521,No,No,61.2,Pass
Male,22,29.3,92.8,69.5,6.1,5,High School,57974,Yes,Yes,68.7,Pass
Male,18,10.6,64.7,62.0,6.2,6,High School,141900,No,Yes,35.5,Fail
Female,16,15.1,92.5,63.4,8.1,4,High School,60448,Yes,Yes,57.9,Pass
Female,17,23.3,77.3,72.5,7.0,3,Bachelor,25938,No,Yes,63.1,Pass
Female,18,26.0,79.6,90.7,8.4,3,High School,122262,Yes,No,68.2,Pass
Female,20,26.4,66.5,90.9,5.4,5,High School,67934,No,Yes,59.3,Pass
Male,21,21.3,96.1,67.2,8.2,4,High School,83526,No,Yes,56.0,Pass
Female,15,20.1,67.4,71.5,7.9,4,Associate,115204,Yes,No,47.1,Fail
Male,20,17.6,73.8,59.4,4.6,3,Associate,39487,No,Yes,49.3,Fail
Male,20,18.7,72.0,60.9,8.6,3,High School,30869,Yes,Yes,58.2,Pass
Female,21,10.7,83.1,82.6,7.1,1,Doctorate,132576,Yes,Yes,65.7,Pass
Female,15,9.1,60.6,90.4,7.5,2,Doctorate,100209,Yes,Yes,62.5,Pass
Male,20,14.0,92.1,58.2,6.0,7,High School,100299,Yes,Yes,57.8,Pass
Female,18,13.0,76.3,71.4,8.5,2,Bachelor,62933,Yes,Yes,59.0,Pass
Female,18,11.3,96.6,64.6,5.6,4,Bachelor,94579,Yes,Yes,59.5,Pass
Female,18,18.2,79.8,80.1,8.0,3,High School,108177,Yes,Yes,64.1,Pass
Female,15,19.7,84.4,62.6,8.0,3,High School,85719,No,Yes,53.2,Pass
Male,20,14.5,68.8,41.0,5.8,7,Associate,112606,No,Yes,41.5,Fail
Male,22,22.9,91.3,82.1,9.4,3,Associate,47018,Yes,No,71.8,Pass
Male,15,7.1,96.3,63.8,7.3,2,High School,103839,No,Yes,55.0,Pass
Male,18,12.8,40.0,65.2,7.8,1,Master,51545,Yes,Yes,57.4,Pass
Male,21,9.7,82.0,74.1,5.2,4,Associate,20566,No,Yes,41.5,Fail
Female,20,2.8,75.6,72.9,9.5,2,Bachelor,94489,No,No,43.2,Fail
Male,20,13.5,68.6,74.4,5.5,4,High School,83355,Yes,No,46.8,Fail
Male,19,13.3,74.7,45.2,8.2,7,Associate,90940,Yes,Yes,40.3,Fail
Male,19,23.1,76.0,75.8,5.8,4,Associate,144731,Yes,Yes,58.3,Pass
Male,16,17.8,72.7,41.3,6.3,5,Associate,116382,Yes,Yes,50.1,Pass
Female,22,7.9,88.9,78.8,7.9,8,Bachelor,141865,No,Yes,54.7,Pass
Female,22,25.1,80.4,83.7,8.2,4,Bachelor,40129,No,Yes,66.2,Pass
Female,17,21.3,93.9,48.8,5.5,3,Associate,48845,No,Yes,51.7,Pass
Female,22,17.5,76.9,72.6,8.3,7,Bachelor,97449,Yes,No,53.7,Pass
Male,19,12.6,85.7,82.8,8.3,4,Master,28739,No,Yes,61.6,Pass
Male,15,8.2,62.1,61.7,5.9,5,Bachelor,49171,No,Yes,51.0,Pass
Female,22,11.8,72.7,77.4,8.9,8,High School,107179,Yes,Yes,43.1,Fail
Male,19,20.5,60.1,35.0,5.3,4,Bachelor,118022,Yes,No,48.0,Fail
Female,16,25.3,78.1,83.4,6.3,3,High School,126906,No,Yes,73.7,Pass
Female,20,23.3,84.7,68.4,7.6,1,Master,70930,No,Yes,71.9,Pass
Female,22,11.1,74.7,64.4,6.0,1,Associate,67649,Yes,Yes,48.6,Fail
Female,16,7.3,60.0,81.8,7.3,8,Associate,81503,Yes,Yes,47.1,Fail
Male,20,14.8,73.9,92.2,7.3,5,High School,134659,No,No,59.7,Pass
Female,21,3.4,79.3,74.8,6.8,3,Associate,114875,No,Yes,48.5,Fail
Male,21,15.9,62.3,90.5,8.0,5,Master,69538,Yes,No,59.0,Pass
Male,20,13.1,77.4,46.3,6.7,4,High School,55455,Yes,Yes,44.3,Fail
Female,22,11.2,60.5,77.3,7.3,3,Associate,38243,Yes,Yes,48.6,Fail
Male,17,4.4,75.5,66.2,8.4,1,Master,141793,Yes,Yes,55.2,Pass
Male,19,17.1,79.3,57.0,7.9,5,Associate,129371,Yes,Yes,46.9,Fail
Female,15,10.8,66.8,41.0,7.9,3,Associate,87231,No,Yes,43.5,Fail
Male,15,7.0,86.6,76.6,5.6,4,Bachelor,92648,No,Yes,50.2,Pass
Female,18,1.0,41.5,80.3,7.6,9,Associate,50059,Yes,Yes,41.2,Fail
Female,20,13.8,79.9,86.8,5.9,7,High School,90778,Yes,Yes,54.9,Pass
Female,15,24.6,74.6,84.5,5.5,5,High School,93477,Yes,Yes,64.4,Pass
Male,22,24.0,85.6,57.2,6.9,4,Bachelor,73283,No,Yes,61.6,Pass
Male,17,11.3,86.5,86.1,5.9,1,Master,81853,Yes,Yes,69.1,Pass
Female,20,10.4,84.7,87.5,7.9,7,High School,38001,No,Yes,51.0,Pass
Female,17,16.8,89.4,64.4,8.0,2,High School,20700,Yes,Yes,55.1,Pass
Male,22,8.0,57.0,68.4,4.7,7,Associate,135990,No,No,49.9,Fail
Female,15,15.8,68.6,54.9,6.0,4,Master,31339,Yes,Yes,57.9,Pass
Female,15,18.6,69.2,88.7,5.2,6,High School,144378,Yes,Yes,57.6,Pass
Female,18,21.4,93.8,46.8,6.4,5,Master,47543,No,Yes,52.2,Pass
Other,15,13.4,84.4,75.5,7.5,6,High School,53930,No,Yes,45.3,Fail
Female,20,12.8,56.9,59.6,6.7,6,Master,47044,Yes,Yes,55.0,Pass
Male,22,8.7,83.5,52.5,6.3,2,Bachelor,96673,Yes,Yes,47.7,Fail
Male,21,9.0,79.7,41.8,8.6,5,Bachelor,130997,No,No,44.9,Fail
Female,22,12.6,76.7,65.0,4.2,5,Associate,101725,No,Yes,52.0,Pass
Male,20,16.2,56.5,50.3,8.5,7,Bachelor,44012,No,Yes,49.8,Fail
Female,20,19.5,63.5,68.8,6.3,3,High School,96513,Yes,Yes,57.7,Pass
Male,18,9.2,93.6,92.8,6.9,2,High School,115585,No,Yes,60.0,Pass
Male,18,23.0,97.5,70.8,6.4,5,Associate,39694,No,Yes,61.2,Pass
Male,15,12.4,75.9,96.0,8.9,7,Master,116760,Yes,Yes,66.3,Pass
Female,16,13.9,82.8,54.2,5.5,4,Bachelor,50835,Yes,Yes,51.2,Pass
Male,22,9.5,80.0,50.1,7.0,5,Associate,136777,No,Yes,34.9,Fail
Female,22,1.0,72.6,53.6,7.6,4,Bachelor,36186,Yes,Yes,33.4,Fail
Female,16,19.3,75.0,67.1,5.1,6,High School,62391,Yes,No,53.4,Pass
Female,18,18.4,60.2,100.0,5.9,2,Master,123858,Yes,Yes,69.2,Pass
Male,15,12.3,91.5,44.7,6.8,5,Bachelor,122199,No,Yes,51.8,Pass
Male,16,14.4,55.0,76.7,5.9,3,Bachelor,46401,Yes,No,51.0,Pass
Female,15,17.1,96.9,58.2,6.0,6,Associate,115764,No,Yes,52.3,Pass
Male,15,4.6,43.5,64.9,6.6,4,Doctorate,76611,No,No,46.1,Fail
Female,15,10.8,94.9,50.4,7.8,4,Master,30202,No,Yes,60.0,Pass
Male,19,18.8,69.1,80.3,6.6,7,Bachelor,51135,Yes,Yes,58.1,Pass
Female,20,6.5,48.3,67.4,8.3,1,Associate,106121,Yes,No,39.7,Fail
Male,15,15.8,89.9,83.2,5.8,2,Bachelor,131944,Yes,Yes,73.1,Pass
Female,19,5.9,80.0,70.5,5.5,5,Bachelor,131765,No,Yes,48.0,Fail
Male,18,16.8,80.4,41.0,9.3,2,Associate,81535,Yes,Yes,48.1,Fail
Female,16,13.8,83.7,83.4,6.2,5,Associate,135328,Yes,Yes,58.5,Pass
Female,20,4.3,77.9,39.8,5.4,4,Associate,133473,No,Yes,32.6,Fail
Female,21,21.0,60.2,41.8,4.9,0,Bachelor,131056,Yes,No,51.1,Pass
Male,16,9.6,,55.2,8.3,3,Associate,33475,No,Yes,39.1,Fail
Male,20,9.1,76.8,55.3,6.6,3,High School,97870,Yes,Yes,46.9,Fail
Female,21,15.2,52.7,87.5,6.7,1,Bachelor,102366,No,No,56.9,Pass
Male,16,20.9,84.6,65.6,6.8,3,Associate,141836,Yes,Yes,57.2,Pass
Male,20,7.9,73.3,85.5,8.2,5,High School,110814,Yes,Yes,62.7,Pass
Male,16,14.4,43.2,60.0,6.8,6,Associate,102285,Yes,Yes,48.1,Fail
Male,16,16.6,79.7,72.4,9.8,2,Master,58185,No,Yes,60.2,Pass
Female,21,18.2,73.8,74.6,7.2,3,Bachelor,82398,No,Yes,58.3,Pass
Female,16,15.1,60.7,77.7,8.3,4,Associate,114682,No,Yes,57.7,Pass
Male,16,11.8,67.8,61.5,8.0,4,Master,94593,Yes,Yes,54.5,Pass
Male,21,9.0,56.2,62.7,7.0,4,High School,125518,Yes,Yes,51.0,Pass
Male,18,14.5,65.6,63.8,6.3,5,Doctorate,73535,No,Yes,56.1,Pass
Female,15,7.6,52.3,44.9,7.4,0,High School,127626,No,Yes,37.8,Fail
Female,22,1.0,73.2,66.8,7.6,3,High School,132190,Yes,Yes,46.9,Fail
Male,17,16.6,69.7,62.6,6.3,5,Associate,32060,Yes,Yes,67.6,Pass
Male,19,19.4,56.5,76.1,7.2,6,Associate,81560,No,Yes,46.9,Fail
Male,17,1.0,92.8,69.3,8.5,8,Associate,107610,No,Yes,40.7,Fail
Male,17,7.9,66.0,86.7,9.5,3,Bachelor,50970,No,Yes,55.7,Pass
Male,20,17.7,94.8,69.0,8.0,4,Master,62088,Yes,Yes,72.6,Pass
Female,15,26.3,69.5,60.1,9.2,3,Associate,29683,Yes,Yes,47.0,Fail
Female,20,14.1,90.2,68.8,6.2,4,Associate,118631,Yes,Yes,48.2,Fail
Male,15,9.6,88.7,78.1,7.8,4,High School,129789,Yes,Yes,54.9,Pass
Male,21,12.9,91.5,43.2,8.6,5,High School,63321,Yes,Yes,57.3,Pass
Female,21,22.2,85.2,58.0,5.9,3,Bachelor,81565,No,Yes,57.1,Pass
Female,22,10.1,72.8,58.3,6.4,2,High School,138454,No,Yes,39.0,Fail
Male,15,9.2,,73.8,9.1,5,Bachelor,100095,Yes,Yes,63.1,Pass
Female,16,11.1,92.5,75.4,5.8,6,Associate,131610,No,Yes,62.3,Pass
Female,18,8.3,77.7,69.4,5.4,1,High School,21532,No,Yes,45.9,Fail
Male,22,14.7,76.1,35.0,8.8,6,Associate,132527,Yes,No,42.2,Fail
Male,22,23.7,61.8,44.9,8.4,6,High School,101463,No,Yes,43.9,Fail
Male,16,15.9,90.4,64.7,7.5,5,Associate,23456,Yes,Yes,60.0,Pass
Female,18,12.5,41.5,61.0,6.9,3,Bachelor,21413,Yes,Yes,44.7,Fail
Male,20,12.2,74.3,68.1,6.5,3,Associate,25085,Yes,Yes,57.1,Pass
Female,18,4.6,63.6,61.4,7.3,4,High School,38563,No,Yes,44.0,Fail
Female,20,19.3,81.7,89.4,8.9,3,Bachelor,55575,No,Yes,70.7,Pass
Male,21,13.5,72.9,35.9,7.3,3,High School,25386,No,Yes,30.4,Fail
Male,17,12.9,62.9,72.2,9.6,1,Bachelor,118244,No,No,45.4,Fail
Male,21,33.2,74.6,79.6,5.9,6,Associate,77150,Yes,Yes,63.5,Pass
Male,21,15.8,73.6,77.8,7.0,5,Associate,144053,No,No,53.2,Pass
Male,17,9.5,86.7,79.0,6.6,6,Master,94566,No,Yes,60.4,Pass
Female,18,11.4,84.4,81.0,5.7,4,Bachelor,147549,Yes,Yes,55.7,Pass
Female,22,20.9,92.7,59.5,6.8,6,High School,46812,Yes,Yes,57.0,Pass
Female,18,14.7,70.3,52.6,7.5,5,High School,106958,Yes,Yes,50.7,Pass
Female,20,5.4,79.5,39.5,7.6,3,Master,94181,No,Yes,46.2,Fail
Male,16,19.5,82.3,62.9,9.6,4,High School,32628,Yes,No,51.3,Pass
Female,20,10.0,61.8,57.1,7.6,2,Associate,42486,Yes,Yes,45.8,Fail
Male,16,25.2,94.9,84.3,8.4,1,Bachelor,141934,No,Yes,66.2,Pass
Male,21,20.5,80.1,64.0,7.1,5,Bachelor,57266,No,Yes,64.7,Pass
Male,17,11.3,88.4,53.6,9.0,3,Bachelor,106268,No,Yes,54.0,Pass
Male,21,21.7,81.0,51.4,9.9,7,Bachelor,64557,Yes,Yes,47.2,Fail
Male,15,14.4,40.0,95.8,7.6,8,Bachelor,34494,No,No,56.4,Pass
Male,18,19.1,92.2,67.7,5.8,7,Master,52486,Yes,Yes,65.2,Pass
Female,16,16.9,68.7,57.1,6.3,6,Bachelor,79635,Yes,Yes,57.0,Pass
Male,20,8.9,93.8,69.7,7.3,0,Associate,149197,Yes,Yes,56.8,Pass
Female,17,10.1,79.9,94.6,7.5,3,Associate,66814,No,Yes,58.7,Pass
Female,16,20.2,91.4,62.5,7.8,2,Bachelor,141141,No,Yes,56.4,Pass
Male,20,12.0,,77.6,7.6,6,Master,80363,No,No,69.0,Pass
Female,18,11.6,70.8,84.6,7.0,6,High School,61162,No,Yes,49.1,Fail
Male,21,8.3,78.5,41.5,6.2,7,Associate,145083,Yes,Yes,35.3,Fail
Male,18,16.5,81.0,59.1,7.5,2,Master,25590,No,Yes,53.7,Pass
Male,19,26.4,80.6,82.9,9.2,7,Bachelor,52850,No,Yes,63.8,Pass
Female,15,7.6,59.0,58.2,8.2,1,High School,148091,No,Yes,50.0,Pass
Female,19,14.1,83.3,73.8,7.6,3,Bachelor,43230,No,Yes,59.9,Pass
Male,17,22.5,79.6,57.4,8.2,3,Doctorate,33058,Yes,Yes,70.0,Pass
Female,16,13.5,82.6,61.8,6.6,2,Master,97837,Yes,Yes,60.5,Pass
Male,17,16.7,93.1,60.1,6.4,2,Bachelor,121397,Yes,Yes,59.5,Pass
Male,21,7.6,76.9,76.9,6.1,1,High School,45039,No,Yes,46.3,Fail
Male,20,16.6,67.9,70.8,6.8,3,Master,56334,Yes,Yes,68.1,Pass
Female,18,12.9,99.1,69.4,6.5,7,Associate,61525,Yes,No,58.8,Pass
Female,19,19.9,48.3,100.0,8.4,7,Master,144681,No,No,65.1,Pass
Male,22,21.1,90.3,92.4,6.4,2,Associate,102194,No,Yes,73.1,Pass
Female,19,29.5,82.2,40.3,6.0,0,High School,21972,Yes,Yes,52.0,Pass
Female,21,17.5,92.4,61.8,9.3,3,Associate,82936,Yes,Yes,61.2,Pass
Male,19,16.0,91.3,100.0,6.5,6,High School,109703,Yes,Yes,71.9,Pass
Male,21,15.2,63.6,60.0,7.2,9,Bachelor,127877,No,Yes,49.8,Fail
Male,22,11.9,83.8,97.2,7.5,2,Doctorate,47519,No,Yes,71.1,Pass
Male,17,16.0,72.1,62.0,5.6,2,Bachelor,120417,Yes,Yes,65.7,Pass
Female,18,12.2,50.5,64.7,8.5,4,Master,93864,Yes,No,51.7,Pass
Male,16,15.0,64.5,80.1,7.8,4,Associate,73881,Yes,Yes,64.1,Pass
Other,20,21.9,82.2,66.7,8.9,2,Bachelor,42732,Yes,Yes,65.5,Pass
Female,16,,89.4,74.9,6.2,6,Master,93909,No,Yes,53.8,Pass
Male,17,20.8,84.5,90.0,7.1,4,Bachelor,23720,Yes,Yes,74.9,Pass
Male,20,21.9,67.7,78.6,7.0,2,Associate,77115,Yes,No,63.3,Pass
Male,19,13.3,59.7,70.0,7.3,6,Bachelor,133843,Yes,No,50.9,Pass
Male,22,1.3,65.4,91.4,5.3,3,Bachelor,69940,No,Yes,48.5,Fail
Male,22,10.4,88.3,80.3,7.1,3,High School,89762,No,No,57.6,Pass
Female,15,21.8,96.0,57.7,5.3,3,Master,102833,Yes,Yes,59.6,Pass
Female,17,13.9,93.3,95.7,7.4,5,Doctorate,36206,Yes,Yes,77.3,Pass
Male,17,8.0,89.6,77.0,4.4,2,Associate,109471,Yes,Yes,52.3,Pass
Male,18,11.0,79.2,65.0,4.8,6,Bachelor,113169,Yes,Yes,47.8,Fail
Male,16,19.0,97.4,39.7,8.0,3,Bachelor,28736,Yes,Yes,56.9,Pass
Male,17,17.3,57.2,48.7,6.3,3,Bachelor,124937,Yes,Yes,51.2,Pass
Male,17,12.6,84.5,91.8,5.8,1,Associate,74577,No,Yes,64.0,Pass
Male,19,11.8,89.0,92.4,8.5,4,Master,149003,No,Yes,63.9,Pass
Male,19,11.6,58.1,69.2,7.4,7,Associate,105702,No,Yes,50.5,Pass
Male,20,8.5,78.8,43.2,8.0,4,High School,96694,Yes,Yes,42.8,Fail
Male,21,23.7,75.4,52.8,6.8,1,Master,109310,No,Yes,58.9,Pass
Male,21,12.1,77.0,45.3,10.0,1,Bachelor,73155,Yes,Yes,51.1,Pass
Male,15,21.3,63.2,44.8,6.3,2,Master,146491,Yes,No,46.6,Fail
Female,21,23.1,94.7,96.4,9.1,4,High School,95613,Yes,Yes,78.3,Pass
Female,18,20.0,77.8,96.8,6.9,8,High School,74938,Yes,No,57.1,Pass
Female,15,11.4,68.3,52.3,5.0,3,Master,119163,No,No,52.5,Pass
Male,20,16.4,72.7,67.9,7.6,4,High School,86498,Yes,Yes,49.5,Fail
Female,19,13.9,79.1,50.0,7.4,3,Master,35751,No,Yes,52.7,Pass
Female,21,8.6,88.8,67.8,5.7,4,Master,129161,No,Yes,55.1,Pass
Male,16,15.9,88.4,91.0,5.9,2,Bachelor,50390,No,Yes,65.9,Pass
Female,19,6.9,90.7,83.1,7.0,4,High School,119213,No,Yes,57.6,Pass
Male,22,21.1,97.6,79.3,7.4,3,Bachelor,126712,No,Yes,71.1,Pass
Female,18,11.2,86.6,65.3,4.0,7,Master,78403,Yes,Yes,57.3,Pass
Female,19,15.2,95.2,85.7,8.3,3,Associate,44859,No,Yes,58.8,Pass
Male,18,15.7,74.6,77.1,6.4,5,Associate,117124,Yes,Yes,51.6,Pass
Female,18,12.4,76.0,73.7,5.4,3,Associate,143940,No,Yes,46.7,Fail
Female,18,17.5,78.7,66.4,8.1,0,High School,45100,No,No,51.2,Pass
Male,20,11.2,86.8,72.5,7.0,6,Master,135350,Yes,Yes,70.0,Pass
Male,18,19.2,65.2,72.0,8.5,7,Master,139792,Yes,Yes,58.9,Pass
Female,18,5.9,88.3,60.4,7.5,5,Doctorate,72524,Yes,No,63.2,Pass
Male,22,14.8,73.1,57.2,7.0,4,Bachelor,120757,Yes,Yes,52.6,Pass
Female,16,25.6,75.0,54.0,6.8,1,Bachelor,103049,Yes,Yes,61.1,Pass
Female,15,8.0,71.3,54.9,7.6,8,High School,62974,Yes,Yes,44.0,Fail
Male,17,9.9,69.4,65.4,6.5,4,Bachelor,71768,Yes,Yes,50.5,Pass
Male,22,17.1,75.1,63.1,6.0,0,Bachelor,66544,Yes,No,57.4,Pass
Male,15,15.1,82.0,59.3,7.7,3,Master,29774,No,Yes,47.2,Fail
Male,18,16.1,41.8,58.3,6.8,3,Master,95678,Yes,No,42.6,Fail
Male,16,16.9,80.2,72.1,7.0,3,Master,68135,No,Yes,52.1,Pass
Male,19,17.8,92.6,87.3,8.3,3,Master,43158,No,Yes,73.2,Pass
